nama;harga;lokasi;toko;rating;terjual
LENOVO IDEAPAD SLIM 1 14 RYZEN 3 7320U RADEON 610M 8GB 512SSD W11+OHS;Rp5.449.000;Tangerang;Agres ID Tangerang;5.0;30+ terjual
ASUS ROG Zephyrus M16 GU604VI i9 13900H 64GB 2T RTX4070 8G 16QHD 240Hz;Rp31.499.000;Jakarta Utara;Top Tech;4.8;30+ terjual
Lenovo Gaming idepad L340/ Amd Ryzen 7-3700U/ 8/256/ Radeon RX Vega 10;Rp5.750.000;Jakarta Barat;dr.com komputer;5.0;3 terjual
Acer Nitro V 15 i5 13420H RTX2050 8GB 512SSD W11+OHS 15.6FHD;Rp10.649.000;Jakarta Utara;GAMER.ID;5.0;80+ terjual
LENOVO LOQ 15 GAMING RTX4050 RYZEN 5 7640HS 8GB 512SSD 165HZ 100SRGB;Rp14.999.000;Jakarta Utara;Deca Computer;5.0;2 terjual
Lenovo LOQ Gaming Ryzen 5 8645HS RTX4050 512GB SSD 8GB 144Hz IPS Win11;Rp15.699.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;8 terjual
LENOVO GAMING 3 15 RYZEN 5 5500H 8GB 512SSD RTX2050 Win11+OHS 15.6FHD;Rp9.799.000;Jakarta Utara;AGRES ID;4.9;27 terjual
"ACER PREDATOR HELIOS NEO 16 RTX4060 8GB/ I7 13700HX 16GB 1TBSSD 16.0""";Rp19.999.000;Jakarta Utara;Gaming Laptop ID;5.0;11 terjual
"LEGION 5 PRO 16 i7-12700H 32GB 1TBSSD RTX3050Ti 4GB W11 16""QHD 165Hz";Rp16.249.000;Jakarta Utara;Top Tech;5.0;80+ terjual
Laptop LENOVO IDEAPAD SLIM 1 15 RYZEN 3 7320 4GB 256GB W11 15.6FHD IPS;Rp4.599.000;Jakarta Utara;Gaming Laptop ID;5.0;6 terjual
"LENOVO IdeaPad Slim 3 14IAU7 i3-1215U 256GB 14"" FHD Intel UHD W11 OHS";Rp6.099.000;Jakarta Pusat;Lenovo Legion Official;4.7;30+ terjual
Notebook Lenovo Ideapad D330-10IGL Celeron N4020 8/128 ssd touch;Rp1.600.000;Tangerang;Raja Elektronik Serang Store;5.0;3 terjual
"LAPTOP LENOVO IdeaPad 1 14IGL7 intel Celeron N4020 8GB 512GB 14"" DOS";Rp3.939.000;Jakarta Pusat;Protech Computer;4.8;50+ terjual
HP VICTUS Gaming 15 Core i5 12500H 8GB 512GB SSD RTX 3050 fa0011TX;Rp10.038.979;Jakarta Pusat;TeknoTrend;5.0;100+ terjual
Asus ROG Strix G16 2023 G614JI i9 13980HX 32GB 1TB RTX4070 8GB OHS;Rp34.999.000;Jakarta Utara;Top Tech;5.0;3 terjual
Asus ROG G512Li i7 10750 RAM 16GB 512GB ssd GTX1650Ti 4GB W10 15.6FHD;Rp12.999.000;Jakarta Utara;ALIENWARE OFFICIAL;5.0;5 terjual
"Lenovo Ideapad Slim 1 Ryzen 7320 8GB RAM 256GB SSD Win 11 OHS 14"" FHD";Rp5.449.000;Jakarta Utara;Thinkpad Official Store;5.0;100+ terjual
"ACER PREDATOR HELIOS NEO 16 I7 13700 RTX4060 16GB 1TB W11 16""QHD 165HZ";Rp19.999.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;4 terjual
"Lenovo LOQ 15 Gaming RTX3050 6GB Ryzen 5 7640HS 8GB 512SSD 15.6"" 144Hz";Rp13.299.000;Jakarta Pusat;Lenovo Legion Official;4.9;40+ terjual
ASUS ROG ZEPHYRUS M16 GU604VI CORE I9-13900H RTX4070 64GB 2TB SSD;Rp31.499.000;Jakarta Utara;ROGS STORE;5.0;9 terjual
HP VICTUS GAMING 15 FA0178TX RTX3050 intel i5 12450H RAM 16GB 512SSD;Rp11.999.000;Jakarta Utara;AGRES ID;5.0;10 terjual
Asus TUF Gaming F15 FX506HF-I525B6T-O [Core i5-11400H/8GB/512GB SSD];Rp10.999.000;Medan;INTIKOM STORE;5.0;2 terjual
"ACER NItro v 15 RTX4060 I9-13900H 16/32GB 512GB w11 ohs 15"" 144hz";Rp18.699.000;Jakarta Utara;Intel Gaming ID;5.0;14 terjual
"Asus ROG Flow X13 2in1 Ryzen 9 6900HS 16GB 1TB SSD RTX 3050Ti 13.4""";Rp18.399.000;Jakarta Pusat;Kingz Notebook;5.0;100+ terjual
Dell Gaming 15 P65F, I7- 7700HQ, Ram 8Gb/256Gb, GTX 1050Ti 4Gb;Rp6.850.000;Jakarta Barat;dr.com komputer;5.0;4 terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB 144Hz IPS Win11;Rp12.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;4.9;12 terjual
ASUS ROG STRIX G18 G814JU-I745J6G-O CORE i7-13650HX RTX4050 6GB 16GB;Rp24.146.000;Surabaya;ExpoComp;5.0;3 terjual
ASUS TUF GAMING F15 FX506LH I565B6T-CORE i5 10300H-8GB-512GB-GTX 1650;Rp7.268.000;Jakarta Pusat;MKNcell;5.0;3 terjual
ASUS ROG Zephyrus G14 2023 GA402XV R9 7940HS 32GB 1T RTX4060 8GB 14QHD;Rp22.599.000;Jakarta Utara;Top Tech;4.8;60+ terjual
"LENOVO Loq 15 gaming ARC A530M I5 12450HX 16/8GB 512GB w11 15"" 144hz";Rp11.049.000;Jakarta Utara;Intel Gaming ID;5.0;15 terjual
"ASUS TUF Gaming A15 FA507NV Ryzen 5-7535H RTX4060 512GB 15.6"" W11 OHS ";Rp16.199.000;Jakarta Pusat;Collins Official;5.0;5 terjual
ACER NITRO V 15 I5 13420H RTX2050 8GB 512GB SSD W11+OHS 15.6FHD 144HZ;Rp10.649.000;Jakarta Utara;AGRES ID;4.9;40+ terjual
Acer Nitro V 15 ANV15-51 542G i5-13420H 8GB 512SSD RTX2050 W11 OHS;Rp10.899.000;Palembang;MULTIKOM ID;5.0;1 terjual
ASUS TUF Gaming F15 FX507VU-I745K6M-O - Mecha Gray;Rp19.149.000;Dilayani Tokopedia;Asus Official Store;5.0;5 terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB 144Hz IPS Win11;Rp12.999.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;1 terjual
ASUS TUF Gaming A15 FA506NC Ryzen 5-7535HS RTX3050 512GB 144Hz W11 OHS;Rp11.599.000;Jakarta Pusat;Collins Official;5.0;30+ terjual
DELL ALIENWARE M16 R1 RTX4060 8GB | i7 13700HX 64GB 1TB W11 16.0QHD;Rp21.899.000;Jakarta Utara;Top Tech;5.0;5 terjual
Laptop Asus Gaming X550ZE, Gaming Editing Ok, Lengkap, Silver Black;Rp2.600.000;Jakarta Barat;dr.com komputer;5.0;11 terjual
"LENOVO Loq 15 gaming RTX3050 I7 13650HX 12GB 512GB w11 15"" 100%srgb";Rp15.799.000;Jakarta Utara;Intel Gaming ID;4.7;24 terjual
LENOVO LEGION SLIM 7 16 GeForce RTX™4070 - I9 13900 32GB;Rp32.399.000;Jakarta Utara;NVIDIA GeForce Laptop;5.0;19 terjual
DELL ALIENWARE X17 R2 I9-12900 RTX3070TI RAM32GB 1TB SSD W11 17.3FHD;Rp23.798.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;1 terjual
"Acer Predator Helios NEO RTX4050 i5 13500HX 16GB 512GB 16"" WUXGA 165Hz";Rp16.499.000;Bekasi;Agres ID Bekasi;5.0;3 terjual
ASUS TUF Gaming A15 FA506NF Ryzen 5-7535HS RTX2050 16GB 512GB W11 OHS;Rp10.499.000;Jakarta Barat;Space Tech;5.0;15 terjual
ASUS TUF GAMING F15 FX507ZC4 i5-12500H 16GB 512GB RTX3050 4GB OHS W11;Rp12.449.000;Jakarta Pusat;Protech Computer;4.9;100+ terjual
Asus Rog Flow X13 GV301RC Touch RYZEN 7-6800HS RTX3050 16GB 1TB SSD;Rp16.999.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;8 terjual
"LENOVO IdeaPad Slim 3 14IAH8 i5-12450H 16GB 512GB 14"" FHD IPS W11 OHS ";Rp9.499.000;Jakarta Pusat;Lenovo Legion Official;5.0;9 terjual
LENOVO IDEAPAD SLIM 5 14IMH9 ULTRA 7 155H 16GB 512GB W11+OHS ;Rp14.199.000;Jakarta Pusat;Lenovo Legion Official;4.6;16 terjual
"LENOVO IdeaPad Slim 5 14ABR8 Ryzen 5-7530U 16G 512G 14"" WUXGA W11 OHS";Rp9.399.000;Jakarta Pusat;Collins Official;4.9;24 terjual
"Lenovo Ideapad Slim 7 Pro 16 Touch ARC 4GB i7 12700 16GB 1TB W11 16""";Rp11.199.000;Jakarta Utara;royalltech;5.0;2 terjual
"Dell Alienware X14 R1 Gaming RTX3060 i7-12700H 32GB 1TB ssd 14""FHD W11";Rp17.899.000;Jakarta Utara;Gateway Indonesia Comp;5.0;2 terjual
ACER NITRO V15 RTX2050 4GB I5 13420H 16GB 512GB W11+OHS 15.6FHD 144HZ;Rp10.699.000;Jakarta Utara;EnVicStore;5.0;50+ terjual
ACER Nitro V 15 ANV15 51 74ZW RTX4050 i7 13620H 16/512SSD FHD 144Hz;Rp16.389.000;Jakarta Utara;Acer Authorized Store Jakarta;5.0;12 terjual
"LENOVO LOQ GAMING 15IRH8 i7-13620H 8GB 512GB RTX4050 6GB 15.6"" OHS W11";Rp17.999.000;Jakarta Pusat;Protech Computer;5.0;7 terjual
Lenovo IdeaPad Slim 5 14IMH9 Core Ultra 5 125H 16GB 512GB W11 OHS OLED;Rp12.899.000;Jakarta Pusat;Lenovo Official;5.0;10 terjual
"LENOVO IDEAPAD SLIM 7 PRO 16 TOUCH ARC A370M EVO i7 12700 16GB 1TB 16""";Rp11.199.000;Jakarta Utara;ROGS STORE;4.9;16 terjual
Lenovo ideapad slim 3 14itl core i3 1115g4 ram 8gb 512gb ssd fhd grey;Rp4.299.000;Kab. Tangerang;GUDANG LAPTOP BSD;5.0;11 terjual
Lenovo IdeaPad Flex 5 14ABR8 Ryzen 7 7730U 16GB 512GB W11+OHS;Rp12.299.000;Jakarta Pusat;Lenovo Official;5.0;30+ terjual
LENOVO GAMING LOQ 15 - RTX4050 I5 13420H 8GB 512SSD 15.6WQHD 165HZ;Rp15.349.000;Jakarta Utara;Gaming Laptop ID;5.0;2 terjual
LAPTOP GAMING LENOVO THINKPAD T14 AMD RYZEN 5 PRO 4650U/32GB/1TB NVMe;Rp4.750.000;Jakarta Pusat;Computer Murah 2021;5.0;26 terjual
ASUS TUF Gaming A15 FA506NC Ryzen 5-7535HS RTX3050 512GB 144Hz;Rp11.898.979;Jakarta Pusat;TeknoTrend;5.0;27 terjual
ASUS Gaming TUF A15 FA506NF Ryzen 5 7535HS RTX 2050 16GB 512GB FHD+;Rp10.790.000;Jakarta Pusat;Distributor Laptop ID;5.0;30+ terjual
LENOVO LEGION SLIM 5 16IRH8 i7-13700H 16GB 512GB RTX4050 6GB OHS W11;Rp20.649.000;Jakarta Pusat;Protech Computer;5.0;9 terjual
ASUS ROG FLOW Z13 GZ301ZC | i7 12700H 16GB 512SSD RTX3050 4GB 13.4FHD;Rp20.999.000;Jakarta Utara;Top Tech;5.0;40+ terjual
"Lenovo LOQ 15 Gaming RTX4050 i7 13620H 8/512SSD W11 15.6"" WQHD 165Hz";Rp15.399.000;Jakarta Utara;ProStoreComputer;5.0;7 terjual
Lenovo Gaming Y410P, i7-4700QM, 8/1Tb, #Dualvga, Backlight;Rp3.850.000;Jakarta Barat;dr.com komputer;5.0;6 terjual
Lenovo LOQ Gaming RTX 4050 AMD Ryzen 7 7840HS 32GB 1TB SSD W 11 144Hz;Rp14.499.000;Jakarta Pusat;ROGZ Online;5.0;9 terjual
laptop lenovo ideapad slim 1 AMD RYZEN 3 7320U 512GB SSD 14 inci FHD;Rp5.649.000;Bandung;BELILAPTOP ID;5.0;7 terjual
Lenovo Ideapad Slim 3 15 Core i7 1255 16GB 512GBSSD W11 15.6FHD IPS - STANDART, 16GB - 512GB;Rp9.549.000;Jakarta Utara;EnVicStore;5.0;12 terjual
LAPTOP GAMING ASUS ROG ZEPHYRUS M16 GU603Z INTEL i7 12700H RTX3060;Rp16.599.000;Bandung;Eksklusif Komputer;5.0;7 terjual
Lenovo IdeaPad Slim 3 14ABR8 Ryzen 5 7530U 8GB 512GB W11 OHS;Rp8.199.000;Jakarta Pusat;Lenovo Official;5.0;70+ terjual
"Asus Rog Strix G17 G713RW RTX3070TI Ryzen 9 6900 32GB 1TB W11 17""";Rp19.749.000;Jakarta Utara;royalltech;5.0;4 terjual
Asus Rog Flow Z13 GZ301ZC Touch i7-12700 RTX3050 4GB - 16GB 512GB W11;Rp19.299.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;9 terjual
Laptop Gaming Asus Tuf Dash F15 FX517ZC Intel I5 12450H RTX3050-4GB;Rp10.999.000;Jakarta Selatan;QUEEN LAPTOP ID;5.0;3 terjual
Acer Predator Helios Neo GeForce RTX™ 4050 - i5 13500H 16GB 512SSD;Rp16.599.000;Jakarta Utara;NVIDIA GeForce Laptop;4.9;30+ terjual
ACER Predator Helios Neo 16 71 779Q RTX4050 i7 13700HX 16/512SSD 165Hz;Rp19.249.000;Jakarta Utara;Acer Authorized Store Jakarta;4.9;60+ terjual
Acer Nitro V 15 I5 13420H RTX4050 8GB 512SSD W11+OHS 15.6FHD;Rp14.099.000;Jakarta Utara;GAMER.ID;4.9;60+ terjual
Lenovo LOQ 15 Gaming RTX4050 6GB Ryzen 5 7640HS 8GB 512 SSD W11 OHS;Rp14.999.000;Jakarta Utara;ALIENWARE OFFICIAL;5.0;1 terjual
Lenovo Ideapad Slim 3i i5-12450H 512GB SSD 16GB IPS Win11+OHS;Rp9.399.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;40+ terjual
LENOVO IDEAPAD SLIM 1 14IGL7 INTEL CELERON N4020 8GB 512SSD WIN11+OHS;Rp4.793.000;Surabaya;Lenovo Authorized Store Surabaya;5.0;17 terjual
"LENOVO IdeaPad Slim 3 14IAH8 i5-12450H DDR4 8GB 512GB 14"" FHD W11 OHS";Rp8.179.000;Jakarta Pusat;Collins Official;5.0;60+ terjual
LENOVO GAMING LOQ 15IRH8 i5-12450H 16G 512GB RTX3050 4GB OHS W11 - DDR5 12GB;Rp12.989.000;Jakarta Pusat;Protech Computer;4.9;40+ terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.999.000;Kab. Tangerang;StartGo Official Store;5.0;8 terjual
Lenovo Ideapad Gaming 3 15ACH6 7FID, R5-5500H/8GB/512GB/RTX2050/15.6”;Rp10.399.000;Medan;Lenovo Authorized Medan Barat;5.0;4 terjual
"Acer Nitro V 15 ANV15-51 i5-13420H RTX2050 512G 15.6""FHD 144Hz W11 OHS";Rp10.639.000;Jakarta Pusat;Collins Official;5.0;100+ terjual
Lenovo Ideapad Slim 3 Core i3 1215U 8GB 512SSD  FHD 14 Inch Win 11 OHS;Rp6.349.000;Jakarta Utara;Thinkpad Official Store;4.9;100+ terjual
"LENOVO LOQ GAMING 15IRX9 i5-13450HX 16GB 512GB RTX4050 15.6"" OHS W11";Rp16.299.000;Jakarta Pusat;Protech Computer;5.0;16 terjual
Lenovo Legion Go Ryzen Z1 Extreme 512GB SSD 16GB IPS Touch Win11;Rp11.499.000;Kab. Tangerang;Apple Bank BSD;5.0;30+ terjual
"Acer Nitro V 15 ANV15-51 i5-13420H 8GB 512GB RTX2050 4GB 15.6"" OHS W11";Rp10.649.000;Jakarta Pusat;Protech Computer;5.0;30+ terjual
"Lenovo Legion Pro 7i i9-13900HX 32GB 1TBSSD RTX4070 Win11 16"" QHD IPS";Rp27.699.000;Jakarta Utara;Gaming Laptop ID;5.0;2 terjual
DELL GAMING G16 7630 RTX4060 I9 13900 64GB 2TB W11+OFFICE 16.0QHD IPS;Rp21.899.000;Jakarta Utara;ProStoreComputer;5.0;1 terjual
"Lenovo Ideapad Slim 3 Core 13 1215U 8GB 512SSD 14"" FHD Windows 11 OHS";Rp6.099.000;Jakarta Utara;Thinkpad Official Store;4.9;40+ terjual
ASUS ROG STRIX G513QC RYZEN 7 5800 16GB 512SSD RTX3050 4GB W10 15.6FHD;Rp14.299.000;Jakarta Utara;ProStoreComputer;5.0;4 terjual
ASUS ROG STRIX SCAR 15 GZ533ZM i9 12900 RTX3060 16GB 1TB W11 300Hz;Rp23.499.000;Jakarta Utara;ProStoreComputer;5.0;3 terjual
Asus Tuf Gaming F15 FX507 I9 13900H RTX 4060 32GB 1TB SSD W 11 + OHS;Rp22.799.000;Jakarta Pusat;ROGZ Online;5.0;3 terjual
ASUS ROG G512LW i7 10750 32GB 1TBSSD RTX2070 8GB W10 15.6FHD 144HZ;Rp14.899.000;Jakarta Utara;ROGS STORE;4.9;70+ terjual
ACER NITRO 5 AN515-57-52BQ NH.QENSN.004 CI5-11400H/8GB/512GB/RTX3050;Rp13.354.000;Tangerang Selatan;Acer Authorized Store Tangerang;5.0;9 terjual
"LENOVO LOQ 15 GAMING CORE I7 13650HX RTX3050 32GB 1TB OHS 15""FHD 144Hz";Rp15.699.000;Jakarta Utara;ROGS STORE;5.0;9 terjual
ACER NITRO V 15 I5 13420H RTX2050 4GB/ 8GB 512GB W11+OHS 15.6FHD 144HZ;Rp10.639.000;Jakarta Utara;ProStoreComputer;5.0;16 terjual
HP Victus 15 Gaming Ryzen 5 7535HS RTX 2050 4GB 16GB 512GB Fhd 144Hz;Rp9.749.000;Jakarta Pusat;NOTEBOOK GAMING ID;5.0;5 terjual
Asus ROG Strix G17 G713PV Ryzen 9 7845HX 32GB 1TB SSD RTX 4060 8GB W11;Rp22.799.000;Jakarta Pusat;Kingz Notebook;5.0;1 terjual
Lenovo Legion Go Ryzen Z1 Extreme 512GB SSD 16GB IPS Touch Win11;Rp13.499.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;4.9;40+ terjual
Asus Tuf Gaming A15 Ryzen 5 7535HS 16GB 512 RTX2050 FA506NF-R525B3T-O;Rp11.199.000;Medan;mikrotek;5.0;3 terjual
Acer Nitro V15 ANV15 51 i5 13420H 16GB 512GB RTX2050 4GB FHD 144Hz ;Rp10.649.000;Jakarta Pusat;NOTEBOOK GAMING ID;5.0;4 terjual
Asus TUF DASH GAMING FX516PE i7 11370H 16GB 512ssd RTX3050Ti 4GB W10;Rp12.599.000;Jakarta Utara;Gateway Indonesia Comp;5.0;16 terjual
LENOVO IdeaPad Gaming 3 15ACH6 Ryzen 5 5500H 512GB RTX2050 ;Rp9.798.979;Jakarta Pusat;TeknoTrend;5.0;80+ terjual
Lenovo Gaming LOQ 15 RTX4060 8GB i7 13650HX 20GB 512GB 15.6FHD OHS W11;Rp19.599.000;Jakarta Utara;Top Tech;5.0;2 terjual
"LENOVO LEGION 5 RTX4060 | RYZEN 7 7735HS 32GB 1TBSSD W11 15.6"" 165Hz";Rp18.199.000;Jakarta Utara;Top Tech;4.9;28 terjual
ASUS ROG FLOW Z13 GZ301VIC ACRONYM TOUCH RTX4070 I9 13900 32GB 1TB SSD;Rp36.299.000;Jakarta Utara;ROGS STORE;5.0;2 terjual
ACER Predator Helios Neo 16 72DN RTX4060 i7 13700HX 16/1TB WQXGA 165Hz;Rp22.799.000;Jakarta Utara;Acer Authorized Store Jakarta;4.9;100+ terjual
ASUS TUF GAMING A15 FA507RM - R7-6800H RTX3060 16GB 512G 144Hz W11 OHS;Rp14.299.000;Jakarta Pusat;Collins Official;4.8;16 terjual
ASUS ROG STRIX G513RM RTX3060 AMD R7 6800H 32GB 1TB W11 15.6QHD 165Hz;Rp15.549.000;Jakarta Utara;Top Tech;5.0;50+ terjual
"Lenovo Ideapad Slim 7 Pro 16 Touch ARC 4GB i7 12700 16GB 1TB W11 16""  - STANDAR";Rp11.199.000;Jakarta Utara;Gaming Laptop ID;5.0;2 terjual
Lenovo IdeaPad Slim 5 Light Ryzen 7 7730U RAM 8GB 512GB SSD OHS W11 - Cloud Grey, NON BUNDLE;Rp9.399.000;Jakarta Pusat;Distributor Laptop ID;5.0;30+ terjual
LENOVO IdeaPad Slim 3 3i 14IAU7 Core i3 1215U 8GB 512GB ;Rp6.098.979;Jakarta Pusat;TeknoTrend;5.0;100+ terjual
LENOVO IDEAPAD SLIM 3 14AMN8 3LID GREY AMD RYZEN 3-7320U 8GB 512GB W11;Rp6.415.000;Surabaya;Lenovo Authorized Store Surabaya;5.0;25 terjual
Asus Rog Zephyrus G14 GA402XV Ryzen 9 7940HS RTX4060 8GB 16G 1TB 165Hz - NON ANTI GORES, RAM 16GB-512GB;Rp22.599.000;Jakarta Pusat;NOTEBOOK GAMING ID;5.0;4 terjual
